"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q52","sex","age","race","edu","employ","income","politic1","politic2_1","quake","tornado","food","dog","marine","arm","police","rape","mug","fisherman","kidnap","crib","catch0","catch1","why","Q39","Q41","Country","condition","label","prompt"
"1","1/15/15 12:17","1/15/15 12:21",0,NA,248,1,"1/15/15 12:21","R_bK1r5Kqv29Q5roh",NA,NA,NA,NA,39.56,-75.6,NA,NA,1,1,21,1,3,2,1,2,12,0,1,1,1,0,0,1,1,0,0,0,0,0,1,"I tried to make the outcome as best as possible..","N/A","N/A","United States","moral","Outcome","If you had to choose, which outcome would you prevent from occurring?"
"2","1/15/15 12:17","1/15/15 12:21",0,NA,254,1,"1/15/15 12:21","R_6FKxizL4JGK66uV",NA,NA,NA,NA,39.48,-77.46,NA,NA,1,2,33,1,4,1,10,2,13,0,1,0,1,1,1,1,0,1,1,0,0,0,1,"I went with what I thought was most unusual in the situation, for example, place and made my decision that way","no","Thank You","United States","moral","Outcome","If you had to choose, which outcome would you prevent from occurring?"
"3","1/15/15 12:18","1/15/15 12:22",0,NA,239,1,"1/15/15 12:22","R_8odbfzAupnNsC0t",NA,NA,NA,NA,38.97,-77.39,NA,NA,1,2,32,1,4,1,9,1,71,0,0,0,1,1,0,1,1,1,0,1,1,0,1,"I thought about the repercussions of each and then decided to pick which one I would prevent based on that (i.e. I would prevent a child from falling off of a bike without training wheels, because if they fell off a bike without training wheels, they might be too scared to ever ride a bike again).","","","United States","moral","Outcome","If you had to choose, which outcome would you prevent from occurring?"
"4","1/15/15 12:16","1/15/15 12:22",0,NA,369,1,"1/15/15 12:22","R_81Ylz4PwhyCIaBD",NA,NA,NA,NA,28.31,-81.42,NA,NA,1,1,30,1,2,4,1,2,24,1,1,1,1,0,1,0,0,0,0,0,1,0,1,"Personal preferences or opinion on how I might feel in those situations","Some of the questions seemed... basically identical","","United States","worse","Outcome","If you had to choose, which outcome is worse?"
"5","1/15/15 12:16","1/15/15 12:22",0,NA,372,1,"1/15/15 12:22","R_abjsRuHRQm03Msl",NA,NA,NA,NA,27.12,-80.37,NA,NA,1,2,33,2,5,1,11,11,5,0,0,1,1,1,1,1,1,1,1,1,1,0,1,"I chose the to save the response that seemed less ""deserving"" of the negative experience, although none of them actually deserved it","no","no","United States","moral","Outcome","If you had to choose, which outcome would you prevent from occurring?"
"6","1/15/15 12:18","1/15/15 12:23",0,NA,267,1,"1/15/15 12:23","R_eQAYOkspgXlDlIh",NA,NA,NA,NA,38.88,-94.53,NA,NA,1,2,32,3,4,2,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,"sometimes the options weren't all that different and i chose randomly (like the guy who would get either his left or right foot amputated). sometimes i chose what seemed less probable as worse. ","no","no","United States","worse","Outcome","If you had to choose, which outcome is worse?"
"7","1/15/15 12:17","1/15/15 12:23",0,NA,368,1,"1/15/15 12:23","R_aYqjWwi0Ysa9EEt",NA,NA,NA,NA,26.02,-80.19,NA,NA,1,1,31,1,6,1,10,2,13,1,1,1,1,1,0,0,0,0,0,1,0,0,1,"Each situation was different but for example the woman who fell in her home, she may have trouble getting help as opposed to a woman outside. I also feel for example getting your right foot amputated might be more trouble than the left because a good deal of people are right handed and likely right side dominant. Again, each situation had a good reason.. Some were shallow even, the golden retriever is my favored dog and to have it die would be a worse outcome.","No. It was perfectly clear and easy to focus on.","No, I enjoyed this study, thank you.","United States","worse","Outcome","If you had to choose, which outcome is worse?"
"8","1/15/15 12:18","1/15/15 12:23",0,NA,312,1,"1/15/15 12:23","R_3aZpxp2wZfTUTGJ",NA,NA,NA,NA,39.16,-94.52,NA,NA,1,2,41,1,4,5,11,2,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,"There was really no rhyme or reason to the way I answered. In particular, I answered that the woman who broke her hip fallingin her home wa worse than falling in her driveway, becauce we assocaited being in the home with being in a safe place. Also, the woman who was raped in her dorm room I rated worse because, again, we are supposed to be safe in our home. ","No","Thanks!","United States","worse","Outcome","If you had to choose, which outcome is worse?"
"9","1/15/15 12:17","1/15/15 12:23",0,NA,360,1,"1/15/15 12:23","R_54ozaMazDhL3mAZ",NA,NA,NA,NA,30.25,-81.85,NA,NA,1,2,34,1,6,1,10,2,16,1,1,1,1,1,0,1,1,1,1,0,1,0,1,"I chose the response that seemed like it is worse based on overall conditions before and after the event.  Some though did not seem very different at all and I just chose one of the responses, for example when they mentioned the dogs passing away but the only difference was the breed to me those were both the same situation, the breed does not change the outcome so I just chose an answer for that one.  But when they talk about an earthquake in California versus Oklahoma I would think Oklahoma is worse because they were not expecting that type of natural disaster and were not prepared like residents of California would be.","no","no","United States","worse","Outcome","If you had to choose, which outcome is worse?"
"10","1/15/15 12:18","1/15/15 12:23",0,NA,308,1,"1/15/15 12:23","R_3rXRwbvgCTOxldj",NA,NA,NA,NA,42.21,-83.62,NA,NA,1,2,27,1,4,1,2,2,29,0,0,1,1,1,0,1,1,1,1,0,1,0,1,"If things happen in a way that doesn't normally happen, it seems worse to me because it means something in the system has broken. On the other hand for something like a kid getting kidnapped in Guatemala, I rated that as worse because his family will have fewer resources for getting him back than the Norwegian kid. Same for the house destroyed by a tornado in Nebraska.","","","United States","worse","Outcome","If you had to choose, which outcome is worse?"
